popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
73,230666,0,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01E-06,0.358,0.715,87.917,4,acoustic
55,149610,0,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56E-06,0.101,0.267,77.489,4,acoustic
57,210826,0,0.438,0.359,0,-9.734,1,0.0557,0.21,0,0.117,0.12,76.332,4,acoustic
71,201933,0,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07E-05,0.132,0.143,181.74,3,acoustic
82,198853,0,0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4,acoustic
58,214240,0,0.688,0.481,6,-8.807,1,0.105,0.289,0,0.189,0.666,98.017,4,acoustic
74,229400,0,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,3,acoustic
80,242946,0,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4,acoustic
74,189613,0,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4,acoustic
56,205594,0,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4,acoustic
74,244800,0,0.627,0.363,8,-8.127,1,0.0291,0.279,0,0.0928,0.301,99.905,4,acoustic
69,240165,0,0.483,0.303,4,-10.058,1,0.0429,0.694,0,0.115,0.139,133.406,3,acoustic
52,198712,0,0.489,0.314,7,-9.245,0,0.0331,0.749,0,0.113,0.607,124.234,4,acoustic
62,248448,0,0.691,0.234,3,-6.441,1,0.0285,0.777,0,0.12,0.209,87.103,4,acoustic
56,188133,0,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83E-05,0.121,0.387,120.004,4,acoustic
58,244986,0,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56E-05,0.179,0.238,83.457,3,acoustic
56,129750,0,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03E-06,0.125,0.414,110.154,4,acoustic
54,169728,0,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17E-05,0.0853,0.609,91.803,4,acoustic
68,189613,0,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4,acoustic
67,260186,0,0.717,0.32,3,-8.393,1,0.0283,0.83,0,0.107,0.322,107.946,4,acoustic
75,242946,0,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4,acoustic
63,174174,0,0.678,0.351,0,-8.654,1,0.0266,0.747,0,0.355,0.569,90.032,4,acoustic
70,229400,0,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,3,acoustic
0,216386,0,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37E-05,0.0974,0.515,140.182,4,acoustic
0,231266,0,0.796,0.667,5,-4.831,0,0.0392,0.381,0,0.221,0.754,97.988,4,acoustic
1,302346,0,0.755,0.454,9,-9.609,0,0.0352,0.757,0,0.236,0.33,120.06,4,acoustic
0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,acoustic
0,273653,0,0.633,0.429,4,-6.784,0,0.0381,0.0444,0,0.132,0.52,143.793,4,acoustic
0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,acoustic
0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,acoustic
0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,acoustic
0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,acoustic
0,234186,0,0.593,0.455,6,-8.192,1,0.0388,0.366,0,0.0914,0.564,202.019,4,acoustic
0,259558,0,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic
0,259558,0,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic
0,259558,0,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic
0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4,acoustic
0,247791,0,0.501,0.0952,2,-12.931,1,0.054,0.963,1.58E-05,0.0915,0.316,138.016,4,acoustic
0,206267,0,0.606,0.326,10,-10.031,1,0.0294,0.841,0,0.139,0.414,91.626,4,acoustic
0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4,acoustic
0,306794,0,0.474,0.519,7,-5.291,1,0.0253,0.281,0,0.107,0.326,151.832,4,acoustic
0,266960,0,0.568,0.301,10,-10.163,0,0.0373,0.796,3.37E-06,0.118,0.142,88.029,4,acoustic
0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
0,193943,0,0.476,0.666,6,-3.438,1,0.0446,0.314,0,0.342,0.498,148.155,4,acoustic
0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
46,213098,0,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,4,acoustic
61,232360,0,0.373,0.914,0,-4.185,1,0.0565,0.076,0,0.669,0.56,168.21,4,acoustic
60,241119,0,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4,acoustic
68,220239,0,0.447,0.393,5,-8.65,1,0.038,0.785,0,0.28,0.564,73.139,3,acoustic
52,171543,0,0.576,0.331,6,-9.389,0,0.0306,0.894,3.44E-05,0.129,0.407,149.02,4,acoustic
62,286865,0,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,4,acoustic
51,234473,0,0.526,0.333,4,-13.02,1,0.0314,0.91,0.168,0.111,0.159,94.951,4,acoustic
0,216000,0,0.501,0.381,0,-9.448,1,0.036,0.687,0.00133,0.119,0.502,80.075,4,acoustic
67,232760,0,0.27,0.275,0,-10.357,1,0.0356,0.834,0,0.146,0.231,168.964,4,acoustic
57,178600,1,0.731,0.507,0,-6.477,1,0.046,0.572,0,0.0912,0.265,117.969,4,acoustic
75,254400,0,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,3,acoustic
62,244320,0,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4,acoustic
66,124933,0,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,4,acoustic
64,222146,0,0.705,0.347,2,-8.249,1,0.0301,0.674,0,0.12,0.36,80.057,4,acoustic
62,181852,0,0.582,0.255,4,-10.254,1,0.0306,0.772,0,0.0889,0.285,139.884,4,acoustic
58,186584,0,0.549,0.274,1,-12.565,1,0.0379,0.798,6.63E-06,0.103,0.207,86.664,4,acoustic
65,159600,0,0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,4,acoustic
67,250266,0,0.397,0.303,5,-7.508,1,0.0435,0.381,0,0.101,0.172,81.05,4,acoustic
65,318908,0,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46E-06,0.0899,0.196,128.012,4,acoustic
44,222351,0,0.787,0.403,0,-11.989,1,0.033,0.603,0.00857,0.131,0.264,118.042,4,acoustic
55,219480,0,0.484,0.573,5,-6.183,1,0.0298,0.0882,1.14E-06,0.15,0.346,139.966,3,acoustic
70,221693,0,0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,4,acoustic
57,354400,0,0.541,0.575,9,-9.463,1,0.0491,0.677,0.215,0.102,0.428,91.98,4,acoustic
56,177500,0,0.607,0.473,2,-8.555,1,0.034,0.712,0,0.66,0.54,119.698,4,acoustic
56,247840,0,0.417,0.595,6,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,4,acoustic
67,216386,0,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37E-05,0.0974,0.515,140.182,4,acoustic
62,229320,0,0.709,0.913,7,-5.148,1,0.0748,0.0182,0,0.167,0.519,108.024,4,acoustic
45,330933,0,0.537,0.342,2,-13.553,1,0.0273,0.645,0.266,0.0687,0.253,109.236,4,acoustic
64,172213,0,0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,4,acoustic
65,226106,0,0.643,0.638,1,-4.947,0,0.0407,0.204,0,0.0707,0.6,82.001,4,acoustic
0,235173,0,0.451,0.7,10,-6.597,0,0.0431,0.455,0.00233,0.405,0.37,150.055,4,acoustic
0,195213,0,0.546,0.391,2,-10.786,0,0.063,0.784,2.72E-06,0.0552,0.202,139.669,4,acoustic
68,236306,0,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,4,acoustic
0,181400,0,0.479,0.541,0,-9.862,1,0.0543,0.74,0,0.108,0.3,85.994,4,acoustic
0,181400,0,0.479,0.541,0,-9.862,1,0.0543,0.74,0,0.108,0.3,85.994,4,acoustic
61,164500,0,0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,4,acoustic
70,220573,0,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.10E-05,0.0425,0.758,185.063,4,acoustic
0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4,acoustic
0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4,acoustic
62,210612,0,0.6,0.845,10,-7.076,1,0.0311,0.048,0,0.24,0.392,97.631,4,acoustic
0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
0,263866,0,0.447,0.555,2,-6.018,1,0.0349,0.218,3.46E-06,0.124,0.33,117.888,3,acoustic
0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
0,177613,0,0.661,0.937,4,-5.157,0,0.0979,0.322,1.04E-06,0.19,0.805,105.549,4,acoustic
0,199040,0,0.603,0.78,0,-5.531,1,0.0438,0.139,0,0.164,0.693,100.499,4,acoustic
58,293040,0,0.626,0.655,9,-6.69,1,0.0263,0.503,0,0.13,0.542,92.003,4,acoustic
50,138495,0,0.794,0.38,10,-8.769,0,0.0477,0.762,0,0.262,0.617,114.99,4,acoustic
59,198626,0,0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,4,acoustic
57,292566,0,0.545,0.658,1,-7.174,1,0.0474,0.496,0,0.105,0.683,76.971,4,acoustic
60,199019,0,0.728,0.266,8,-7.322,1,0.0293,0.872,1.03E-05,0.114,0.307,115.189,4,acoustic
61,181760,0,0.66,0.407,7,-8.381,1,0.0571,0.236,0,0.109,0.257,133.86,4,acoustic
49,349920,0,0.357,0.161,8,-10.667,1,0.0388,0.971,1.40E-05,0.358,0.325,83.449,4,acoustic
55,204973,0,0.479,0.154,2,-11.282,1,0.0352,0.915,0,0.0974,0.36,147.207,4,acoustic
51,322146,0,0.592,0.769,2,-5.268,1,0.0311,0.319,4.66E-06,0.137,0.385,102.033,4,acoustic
46,210375,0,0.7,0.454,7,-10.39,0,0.0388,0.55,0.0022,0.121,0.34,80.011,3,acoustic
57,131000,0,0.402,0.197,5,-10.775,1,0.0295,0.858,1.05E-06,0.114,0.148,100.044,3,acoustic
58,218531,0,0.507,0.378,9,-9.019,1,0.0332,0.852,0.000212,0.0937,0.085,135.86,4,acoustic
51,195945,0,0.619,0.226,4,-13.453,1,0.0641,0.959,4.42E-05,0.106,0.188,124.96,3,acoustic
63,245933,0,0.404,0.571,0,-5.069,1,0.0303,0.182,2.08E-05,0.129,0.29,147.01,4,acoustic
53,212386,0,0.418,0.79,4,-6.599,0,0.0506,0.0284,9.96E-06,0.117,0.197,175.975,4,acoustic
60,225165,0,0.633,0.299,11,-7.798,1,0.0353,0.833,0,0.109,0.341,147.549,4,acoustic
47,112008,0,0.565,0.0392,1,-28.276,1,0.045,0.835,0.183,0.117,0.601,125.399,4,acoustic
60,123609,0,0.664,0.0755,10,-19.836,1,0.0389,0.91,0,0.164,0.575,80.004,1,acoustic
66,240165,0,0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,3,acoustic
67,265843,0,0.65,0.271,9,-11.081,1,0.0314,0.794,6.90E-05,0.196,0.21,78.036,4,acoustic
43,194194,0,0.534,0.213,1,-8.64,1,0.0283,0.884,0,0.107,0.0998,98.385,4,acoustic
54,154600,0,0.456,0.386,10,-10.293,1,0.032,0.835,0.108,0.389,0.612,165.733,4,acoustic
60,158960,0,0.409,0.234,3,-13.711,1,0.0323,0.338,5.00E-05,0.0895,0.145,139.832,4,acoustic
49,319000,0,0.502,0.53,2,-9.573,1,0.0266,0.805,0.000738,0.0728,0.102,78.046,4,acoustic
57,214360,0,0.496,0.117,0,-12.884,1,0.0301,0.933,0,0.126,0.318,78.068,4,acoustic
42,204480,0,0.585,0.724,1,-6.513,0,0.0745,0.315,0.0681,0.0448,0.333,187.484,3,acoustic
67,277000,0,0.582,0.253,10,-11.43,1,0.0259,0.827,2.95E-05,0.091,0.294,90.186,4,acoustic
61,214240,0,0.637,0.14,2,-11.472,1,0.0407,0.903,0,0.107,0.392,139.78,4,acoustic
71,215173,0,0.672,0.623,9,-5.699,1,0.0297,0.241,0,0.0848,0.617,92.018,4,acoustic
49,296862,0,0.422,0.272,4,-10.772,0,0.0353,0.496,1.07E-05,0.0704,0.113,143.413,4,acoustic
61,235813,0,0.47,0.801,9,-6.426,1,0.0352,0.0758,3.53E-05,0.218,0.431,173.92,4,acoustic
61,228933,0,0.564,0.864,4,-5.121,1,0.0341,0.0761,0,0.182,0.534,95.984,4,acoustic
20,339196,0,0.521,0.495,5,-7.756,1,0.027,0.128,0,0.296,0.116,135.061,4,acoustic
22,296843,0,0.616,0.81,2,-6.51,1,0.0668,0.369,0,0.107,0.79,97.994,4,acoustic
35,218240,0,0.615,0.812,7,-6.573,1,0.0458,0.184,0,0.328,0.74,98.954,4,acoustic
60,151773,0,0.478,0.305,5,-13.062,1,0.0306,0.675,0.00139,0.169,0.0974,108.66,4,acoustic
59,181400,0,0.479,0.541,0,-9.862,1,0.0545,0.737,0,0.108,0.321,85.994,4,acoustic
73,201706,0,0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,4,acoustic
22,192260,0,0.514,0.569,6,-7.866,0,0.03,0.601,2.21E-06,0.218,0.264,142.597,4,acoustic
19,198855,0,0.646,0.836,1,-6.203,1,0.0327,0.301,3.23E-05,0.29,0.727,105.991,4,acoustic
24,191889,0,0.57,0.711,9,-4.155,1,0.0703,0.119,0,0.352,0.648,163.117,4,acoustic
57,171293,0,0.678,0.199,9,-9.785,1,0.0307,0.957,3.23E-06,0.0968,0.262,72.006,4,acoustic
35,256440,0,0.589,0.867,10,-4.523,1,0.0385,0.041,0,0.306,0.795,94.52,4,acoustic
20,221425,0,0.626,0.926,2,-4.441,1,0.0477,0.0265,0,0.159,0.548,99.997,4,acoustic
18,255047,0,0.686,0.556,1,-8.5,0,0.0271,0.532,0,0.0922,0.36,112.997,4,acoustic
19,208793,0,0.56,0.832,9,-5.595,1,0.0352,0.108,0,0.232,0.802,100.957,4,acoustic
23,214552,0,0.619,0.793,5,-5.964,1,0.0661,0.263,0,0.0828,0.892,177.991,4,acoustic
19,264280,0,0.56,0.278,3,-12.501,1,0.0921,0.733,0,0.112,0.594,102.187,4,acoustic
18,289041,0,0.595,0.805,8,-7.926,1,0.0543,0.0167,1.06E-05,0.0691,0.359,102.44,4,acoustic
